# Add bound coherent scattering length, December, 2021
#
# File assembled by A. J. Schultz, November, 2009.
#
# Except for hydrogen, cross-section values are from the NIST web site:
# http://www.ncnr.nist.gov/resources/n-lengths/list.html
# which contains values from:
# V. F. Sears, Neutron News, Vol. 3, No. 3, 1992, pp. 29-37.
#
# Hydrogen cross-sections are from:
# Howard, J. A. K.; Johnson, O.; Schultz, A. J.; Stringer, A. M.
#	J. Appl. Cryst. 1987, 20, 120-122.
#
# Atomic weights are from the atmdata.dat file in the GSAS distribution:
# A.C. Larson and R.B. Von Dreele, General Structure Analysis System (GSAS),
# Los Alamos National Laboratory Report LAUR 86-748 (2004).
# In the file, there is this citation:
# At wts from 14th ed Nuclides & Isotopes, 1989 GE Co.
#
# The table contains the following:
#
# Column  Unit    Quantity  
# ------  ----    --------
#      1  ---     Isotope  
#      2  barn    total bound scattering cross section  
#      3  barn    absorption cross section for 2200 m/s neutrons (wavelength = 1.8 A)
#      4  ---     Atomic number
#      5  g/mole  Atomic weight
#      6  fm      bound coherent scattering length (real)
#      7  fm      bound coherent scattering length (imaginary)
#
# Note: 1 barn = 1E-24 cm^2, 1 fm = 1E-13 cm.
#
H          20.600      34.560000     1      1.008    -3.739     0
1H         20.600      34.560000     1      1.008    -3.7406    0
D           7.640       0.000519     1      2.014    6.671      0
2H          7.640       0.000519     1      2.014    6.671      0
3H          3.030       0.000000     1      3.016    4.792      0
He          1.340       0.007470     2      4.003    3.26       0
3He         6.000    5333.000000     2      3.016    5.74       -1.483
4He         1.340       0.000000     2      4.003    3.26       0
Li          1.370      70.500000     3      6.941    -1.9       0
6Li         0.970     940.000000     3      6.015    2          -0.261
7Li         1.400       0.045400     3      7.016    -2.22      0
Be          7.630       0.007600     4      9.012    7.79       0
B           5.240     767.000000     5     10.810    5.3        -0.213
10B         3.100    3835.000000     5     10.013    -0.1       -1.066
11B         5.770       0.005500     5     11.009    6.65       0
C           5.551       0.003500     6     12.011    6.646      0
12C         5.559       0.003530     6     12.000    6.6511     0
13C         4.840       0.001370     6     13.003    6.19       0
N          11.510       1.900000     7     14.007    9.36       0
14N        11.530       1.910000     7     14.003    9.37       0
15N         5.210       0.000024     7     15.000    6.44       0
O           4.232       0.000190     8     15.999    5.803      0
16O         4.232       0.000100     8     15.995    5.803      0
17O         4.200       0.236000     8     16.999    5.78       0
18O         4.290       0.000160     8     17.999    5.84       0
F           4.018       0.009600     9     18.998    5.654      0
Ne          2.628       0.039000    10     20.179    4.566      0
20Ne        2.695       0.036000    10     19.992    4.631      0
21Ne        5.700       0.670000    10     20.994    6.66       0
22Ne        1.880       0.046000    10     21.991    3.87       0
Na          3.280       0.530000    11     22.990    3.63       0
Mg          3.710       0.063000    12     24.305    5.375      0
24Mg        4.030       0.050000    12     23.985    5.66       0
25Mg        1.930       0.190000    12     24.986    3.62       0
26Mg        3.000       0.038200    12     25.983    4.89       0
Al          1.503       0.231000    13     26.982    3.449      0
Si          2.167       0.171000    14     28.086    4.1491     0
28Si        2.120       0.177000    14     27.977    4.107      0
29Si        2.780       0.101000    14     28.976    4.7        0
