,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.1,1.16095,1.16095,1.16094,1.16094,1.16093,1.16092,1.16091,1.1609,1.16089,1.16087,1.16085,1.16083,1.16081,1.16078,1.16076,1.16073,1.1607,1.16066,1.16063,1.16059,1.16055,1.16051,1.16047,1.16042,1.16037,1.16033,1.16027,1.16022,1.16017,1.16011,1.16005,1.15999,1.15993,1.15986,1.1598,1.15973,1.15966,1.15959,1.15952,1.15945,1.15937,1.1593,1.15922,1.15914,1.15907,1.15899,1.15891,1.15883,1.15875,1.15866,1.15858,1.1585,1.15842,1.15834,1.15826,1.15817,1.15809,1.15801,1.15793,1.15785,1.15777,1.1577,1.15762,1.15754,1.15747,1.1574,1.15733,1.15726,1.15719,1.15713,1.15706,1.157,1.15694,1.15689,1.15683,1.15678,1.15673,1.15669,1.15665,1.15661,1.15657,1.15654,1.15651,1.15648,1.15646,1.15644,1.15642,1.15641,1.1564,1.1564,1.15639
0.2,1.34571,1.3457,1.34569,1.34566,1.34563,1.34559,1.34554,1.34548,1.34541,1.34533,1.34524,1.34514,1.34504,1.34492,1.34479,1.34466,1.34451,1.34436,1.34419,1.34402,1.34383,1.34364,1.34344,1.34323,1.34301,1.34278,1.34254,1.34229,1.34203,1.34177,1.3415,1.34122,1.34093,1.34064,1.34033,1.34003,1.33971,1.33939,1.33906,1.33873,1.33839,1.33805,1.3377,1.33735,1.337,1.33664,1.33628,1.33591,1.33555,1.33518,1.33481,1.33445,1.33408,1.33371,1.33335,1.33298,1.33262,1.33226,1.3319,1.33155,1.3312,1.33086,1.33052,1.33018,1.32986,1.32954,1.32922,1.32892,1.32862,1.32834,1.32806,1.32779,1.32753,1.32728,1.32705,1.32682,1.32661,1.32641,1.32623,1.32605,1.32589,1.32575,1.32562,1.3255,1.3254,1.32531,1.32524,1.32519,1.32515,1.32512,1.32512
0.3,1.55737,1.55736,1.55732,1.55726,1.55717,1.55706,1.55693,1.55677,1.55658,1.55637,1.55613,1.55587,1.55559,1.55528,1.55494,1.55458,1.55419,1.55378,1.55335,1.55289,1.5524,1.5519,1.55136,1.55081,1.55023,1.54963,1.54901,1.54836,1.5477,1.54701,1.54631,1.54558,1.54484,1.54408,1.5433,1.54251,1.5417,1.54087,1.54004,1.53919,1.53832,1.53745,1.53657,1.53568,1.53478,1.53387,1.53296,1.53205,1.53113,1.53021,1.52929,1.52837,1.52745,1.52653,1.52562,1.52471,1.52381,1.52291,1.52203,1.52115,1.52029,1.51944,1.5186,1.51778,1.51697,1.51618,1.51541,1.51466,1.51393,1.51323,1.51254,1.51189,1.51125,1.51065,1.51007,1.50952,1.509,1.50851,1.50806,1.50763,1.50725,1.50689,1.50657,1.50629,1.50604,1.50583,1.50565,1.50552,1.50542,1.50537,1.50535
0.4,1.79935,1.79932,1.79924,1.79911,1.79893,1.7987,1.79841,1.79808,1.79769,1.79725,1.79675,1.79621,1.79561,1.79496,1.79426,1.7935,1.7927,1.79184,1.79093,1.78998,1.78897,1.78792,1.78682,1.78567,1.78448,1.78325,1.78197,1.78065,1.77928,1.77788,1.77644,1.77497,1.77346,1.77191,1.77034,1.76873,1.7671,1.76544,1.76376,1.76205,1.76033,1.75858,1.75682,1.75505,1.75326,1.75147,1.74966,1.74786,1.74604,1.74423,1.74242,1.74061,1.7388,1.73701,1.73522,1.73345,1.73169,1.72995,1.72823,1.72653,1.72486,1.72321,1.72159,1.72,1.71845,1.71693,1.71544,1.714,1.7126,1.71124,1.70993,1.70866,1.70745,1.70629,1.70518,1.70413,1.70314,1.70221,1.70133,1.70052,1.69978,1.6991,1.69849,1.69795,1.69747,1.69707,1.69674,1.69648,1.6963,1.69619,1.69615
0.5,2.07538,2.07533,2.07519,2.07495,2.07462,2.07419,2.07367,2.07304,2.07233,2.07151,2.0706,2.0696,2.0685,2.06731,2.06602,2.06464,2.06317,2.0616,2.05995,2.05821,2.05639,2.05448,2.05248,2.05041,2.04826,2.04603,2.04373,2.04136,2.03892,2.03641,2.03384,2.03122,2.02853,2.0258,2.02301,2.02017,2.01729,2.01437,2.01142,2.00843,2.00542,2.00237,1.99931,1.99622,1.99312,1.99001,1.9869,1.98377,1.98065,1.97754,1.97442,1.97133,1.96824,1.96518,1.96214,1.95912,1.95614,1.95318,1.95027,1.94739,1.94456,1.94178,1.93905,1.93637,1.93376,1.9312,1.92872,1.9263,1.92395,1.92168,1.91948,1.91737,1.91535,1.91341,1.91156,1.90981,1.90816,1.9066,1.90515,1.9038,1.90256,1.90143,1.90042,1.89951,1.89873,1.89806,1.89751,1.89708,1.89677,1.89659,1.89653
0.6,2.38958,2.38949,2.38925,2.38885,2.38828,2.38755,2.38666,2.38561,2.38439,2.38301,2.38147,2.37978,2.37792,2.37591,2.37374,2.37142,2.36894,2.36632,2.36356,2.36064,2.3576,2.35441,2.3511,2.34766,2.3441,2.34041,2.33662,2.33271,2.3287,2.32459,2.32039,2.3161,2.31172,2.30727,2.30275,2.29816,2.29351,2.28881,2.28405,2.27926,2.27443,2.26956,2.26467,2.25977,2.25484,2.24991,2.24498,2.24006,2.23514,2.23024,2.22535,2.2205,2.21567,2.21089,2.20615,2.20145,2.19682,2.19223,2.18772,2.18327,2.1789,2.17461,2.1704,2.16629,2.16227,2.15835,2.15453,2.15082,2.14723,2.14376,2.1404,2.13718,2.13409,2.13114,2.12832,2.12566,2.12314,2.12077,2.11856,2.11651,2.11463,2.11291,2.11137,2.10999,2.1088,2.10778,2.10695,2.1063,2.10583,2.10555,2.10546
0.7,2.74639,2.74625,2.74587,2.74522,2.74431,2.74315,2.74172,2.74003,2.73809,2.73589,2.73343,2.73073,2.72777,2.72457,2.72113,2.71745,2.71353,2.70939,2.70503,2.70044,2.69565,2.69066,2.68547,2.68009,2.67454,2.6688,2.66291,2.65686,2.65066,2.64432,2.63785,2.63127,2.62456,2.61776,2.61086,2.60388,2.59682,2.5897,2.58252,2.57528,2.56802,2.56071,2.5534,2.54606,2.53872,2.53138,2.52406,2.51676,2.50948,2.50225,2.49505,2.48792,2.48083,2.47383,2.46689,2.46004,2.45327,2.44661,2.44004,2.43359,2.42726,2.42105,2.41497,2.40903,2.40324,2.39759,2.3921,2.38678,2.38162,2.37664,2.37183,2.36722,2.3628,2.35858,2.35456,2.35075,2.34715,2.34377,2.34063,2.3377,2.33502,2.33257,2.33037,2.32842,2.32671,2.32527,2.32408,2.32315,2.32248,2.32209,2.32195
0.8,3.15065,3.15045,3.14986,3.14886,3.14747,3.14568,3.14349,3.14091,3.13793,3.13458,3.13082,3.1267,3.12219,3.11732,3.11209,3.10651,3.10058,3.09432,3.08774,3.08084,3.07364,3.06615,3.05839,3.05036,3.04208,3.03356,3.02482,3.01587,3.00671,2.99738,2.98787,2.97822,2.96842,2.9585,2.94846,2.93833,2.92811,2.91781,2.90746,2.89706,2.88664,2.87618,2.86573,2.85528,2.84484,2.83444,2.82407,2.81375,2.8035,2.79332,2.78321,2.77321,2.76331,2.75352,2.74385,2.73432,2.72492,2.71567,2.70659,2.69767,2.68893,2.68036,2.672,2.66383,2.65587,2.64813,2.6406,2.63332,2.62626,2.61946,2.6129,2.60661,2.60058,2.59483,2.58936,2.58417,2.57929,2.5747,2.57042,2.56645,2.5628,2.55948,2.55649,2.55384,2.55153,2.54956,2.54795,2.54669,2.54579,2.54525,2.54507
0.9,3.60759,3.60728,3.60641,3.60493,3.60287,3.60022,3.59697,3.59316,3.58875,3.58379,3.57825,3.57217,3.56554,3.55838,3.55071,3.54253,3.53386,3.52472,3.51514,3.50511,3.49468,3.48383,3.47263,3.46106,3.44916,3.43695,3.42444,3.41167,3.39864,3.38539,3.37193,3.35829,3.34448,3.33054,3.31646,3.30229,3.28803,3.2737,3.25933,3.24493,3.23052,3.21611,3.20174,3.18739,3.17311,3.15889,3.14476,3.13073,3.11681,3.10303,3.08937,3.07587,3.06253,3.04938,3.03641,3.02364,3.01107,2.99873,2.98662,2.97475,2.96313,2.95177,2.94068,2.92987,2.91935,2.90912,2.8992,2.8896,2.88031,2.87136,2.86274,2.85448,2.84657,2.83903,2.83186,2.82507,2.81867,2.81266,2.80707,2.80187,2.79711,2.79276,2.78886,2.78539,2.78237,2.7798,2.77769,2.77605,2.77487,2.77417,2.77393
